did,diagnose,pid
"955","Clostridium difficile: C. Diff","Antibiotics, Faecal transplant or surgery(for rare cases)."
"956","Sea lice bite","rubbing alcohol and meat tenderizer(home remedies), Antihistamine pill or steroid cream, Steroid pill or shot(severe cases)."
"958","Ascites: fluid in the abdomen","Resting and limiting salt intake to less than 2,000 milligrammes a day, Avoid alcohol, Avoid Paracetamol and nonsteroidal anti-inflammatory drugs, Surgical resection of the cancer and chemotherapy(malignant ascites)."
"960","Sunburn","Nonsteroidal anti-inflammatory drug and Analgesic, Ice packs, Aloe, Sunblock, Moisturizer and Sun protective clothing."
"961","Sun poisoning","Intravenous (IV) fluids for dehydration, steroid creams for painful blistering sunburns, Oral steroids for pain and swelling, Prescription pain medications if OTC versions aren’t providing relief, Topical antibiotics to prevent infection."
"962","Cystic fibrosis: inherited disease of lungs, digestive system","Oral Sodium chloride solution, Dietary supplement, Antibiotics, Penicillin and Cough medicine, Postural drainage."
"963","Sever's disease: calcaneal apophysitis, common cause of heel pain","Rest, Ice packs or nonsteroidal anti-inflammatory drugs (NSAIDs), Supportive shoes, Stretching and strengthening exercises"
"964","Panhypopituitarism: pituitary gland malfunction","Hormone replacement. Treatment of the unerlying conditions(for some cases result in complete recovery)."
"965","Down syndrome: common genetic disorder","Physical exercise and Special education, Support group, Speech therapy, Occupational Therapy and Physical Therapy, Glasses."
"966","Hair loss: alopecia","Steroid, Vasodilator, Anti-inflammatory and Immunosuppressive drug, PUVA and Stress management."
"967","Vaginal yeast: fungal infection","Antifungal and Dietary supplement."
"968","Rickets: childhood bone disease","Vitamin and Dietary supplement, Surgery(rare cases)."
"969","Alzheimer's disease: dementia","Rehabilitation and Occupational Therapy, Cognition-enhancing medication."
"971","Human papillomavirus infection: HPV","No cure for virus, can remove warts caused by HPV. Loop electrosurgical excision procedure, Freezing and Cervical conization, Topical anti-tumor medication, Electrosurgery."
"972","Erectile dysfunction: ED","Vasodilator and Hormone, Quitting smoking and Physical exercise."
"973","Congenital heart disease: heart defect at birth",""
"974","Lumbar spinal stenosis: spinal cord compression","Physical Therapy, Nonsteroidal anti-inflammatory drug and Nerve pain medication, Physical exercise."
"975","Stomach cancer: gastric cancer","Radiation therapy, Chemotherapy and Chemotherapy protective drugs, Gastrectomy and Gastroenterostomy, Palliative care."
"977","Moles: nevi","Biopsy by shaving or cutting out the entire spot, Cut out the entire mole or scar from the biopsy site(if mole is found to be cancerous)."
"978","Idiopathic thrombocytopenia purpura: ITP, low platelets","Monitoring number of platelets, how often and how much one bleeds. Medication: Corticosteroids, Intravenous immunoglobulin (IVIg), Rituximab (Rituxan), Thrombopoietin receptor agonists, General immunosuppressants, Antibiotics; Surgery; Emergency treatment:Transfusions of concentrated platelets and intravenous administration of a corticosteroid."
"979","Thrombotic thrombocytopenia purpura: TTP, rare blood disorder: Thrombotic thrombocytopenic purpura","Plasma(Administer plasma via IV for inherited cases, Plasma exchange for acquired cases), Medications to stop body from destroying the ADAMTS13 enzyme, Surgery."
"981","Ventricular tachycardia: VT, dangerous irregular heart beat","Defibrillation, Cardiopulmonary resuscitation (CPR), Cardiac monitoring and IV fluids, Catheter ablation and Cardioversion, Implantable cardioverter defibrillator, Antiarrhythmic, Beta blocker and Blood pressure support."
"982","Cardiac arrest: heart stops","Defibrillation, Tracheal intubation, Targeted temperature management and Cardiopulmonary resuscitation (CPR), Blood pressure support, Involuntary nervous system blocker and Antiarrhythmic, Coronary catheterization, Implantable cardioverter defibrillator."
"983","Frostbite: tissue damage from cold","Warm soak, Skin rewarming and Removal of unhealthy tissue, Nonsteroidal anti-inflammatory drug, Warm IV fluids, IV fluids and Oxygen therapy, Amputation and Skin grafting."
"984","Trench foot: immersion foot","Rest and elevate the affected foot, Ibuprofen, Clean the affected area right away, Dry your feet thoroughly, Apply heat packs to the affected area for up to five minutes."
"985","Skin blood vessel damage: Chilblains, pernio","Heating pad, Calcium channel blocker."
"986","Gangrene: death of body tissue","IV fluids and Oxygen therapy, Penicillin and Antibiotics, Removal of unhealthy tissue, Amputation, Skin grafting and Fasciotomy."
"987","Food poisoning","Monitoring for changes or improvement, Fluid replacement and Oral rehydration solution (ORS), Antidiarrhoeal."
"988","Lactose intolerance","Avoid lactose, Dietary supplement."
"989","Raynaud's disease: blood vessel constriction","Antihypertensive drug and Calcium channel blocker medications."
"990","Muscular dystrophy: inherited muscle disease","Splint, Physical Therapy, Physical exercise, Steroid."
"991","Diverticulosis: weakening of the large intestine wall","Monitoring for changes or improvement, Dietary fiber, Dietary supplement."
"992","Graves' disease: overproduction of thyroid hormone","Antithyroid agent and Beta blocker, Radioactive iodine therapy and Radiation therapy, Thyroid removal."
"993","Emphysema: COPD, lung disease","Quitting smoking, Bronchodilator medications, Anti-inflammatory medication, Oxygen therapy, Lung volume reduction surgery."
"994","Amyotrophic lateral sclerosis: ALS, Lou Gehrig's disease","Physical Therapy, Mouth-To-Mouth resuscitation and Palliative care, Glutamate blocker and Muscle relaxant, Gastrostomy, Tracheotomy."
"997","Sarcoidosis: inflammatory disease","Steroid and Immunosuppressive drug."
"999","Folliculitis: hair follicle infection","Antibacterial soap, Avoid shaving affected area, Warm compress and Moisturizer, Antibiotics, Penicillin and Topical antiseptic."
"1000","Boil: pus-filled lump","Apply warm, moist compresses several times a day, Keep it clean and continue using warm compresses, Prick the top of the sore with sterile instrument to drain it, Antibiotics and steroid shots, Eliminate or reduce staph bacteria(for recurrent cases)."
"1001","Angioedema: swelling of skin, lips, eyes","Avoiding substances known to trigger swelling, Antihistamine, Applying a cool and(or) wet compress to the swollen area."
"1002","Hot tub follicullitis: hair follicle infection: Pustular folliculitis","Topical medication(silver sulfadiazine cream), Apply a warm compress to the rash, Oral antibiotics."
"1003","Detached retina: retinal detachment","Vitrectomy, Replantation, Cryosurgery, Scleral buckle and Laser surgery."
"1004","Posterior vitreous detachment: common eye abnormality","Laser to reduce the floater or have surgery, Laser surgery or cryopexy(if retinal tear present)."
"1007","Thyroid cancer: neck gland cancer","Radiation therapy, Antithyroid agent and Hormone, Thyroid removal, Endocrine surgery, Partial thyroidectomy, Lymph node dissection and Neck dissection."
"1008","Coronary artery disease: CAD, heart disease","Quitting smoking, Weight loss, Physical exercise and Low fat diet, Statin, Anticoagulant, Beta blocker, Antianginal and Calcium channel blocker, Coronary stent and Angioplasty, Coronary artery bypass surgery."
"1009","Double diabetes: hybrid diabetes","Keep taking the insulin every day(for type 1), Foods with fewer carbohydrates and a higher fibre content, Medications(for type 2) to improve improve insulin sensitivity and aid weight loss."
"1011","Birth control pill use","Treat the symptoms."
"1012","Toe fracture","Ice and elevation, Over-The-Counter Painkillers, Splint, Surgery."
"1013","Finger fracture: broken finger","Ice and elevation, Over-The-Counter Painkillers, Splint, Correcting deformity using anesthesia, Surgery."
"1014","Hand fracture: broken hand","Cast/splint/brace, Over-The-Counter Painkillers, Surgery."
"1015","Scaphoid fracture: broken hand bone","Cast/splint/brace, Over-The-Counter Painkillers, Surgery."
"1016","Clavicle fracture: broken collar bone","Reduction, Splint and Sling, Narcotic, Nonsteroidal anti-inflammatory drug and Analgesic, Physical Therapy."
"1017","Valvular heart disease: abnormal heart valves","Monitoring, Heart valve surgery(to repair or replace)."
"1018","Aortic regurgitation: leaking heart valve","Aortic valve repair."
"1019","Mitral stenosis: tight heart valve","Medications: Diuretics, Blood thinners (anticoagulants), Beta blockers, calcium channel blockers or digitalis glycosides, Anti-arrhythmics, Antibiotics; Surgery: Percutaneous balloon mitral valvuloplasty, Surgical commissurotomy, Mitral valve replacement."
"1020","Mitral regurgitation: leaking heart valve","Monitoring for changes or improvement, Low sodium diet, Mitral valve replacement and Mitral valve repair."
"1022","Cataracts: clouding of the eye lens","Surgery"
"1024","Thalassemia: Mediterranean anemia, inherited blood disorder","Vitamin medications, Blood transfusion and Iron reducer, Stem-cell transplant."
"1025","Iron deficiency anemia: low red blood cell count","Dietary supplement and Blood transfusion."
"1026","Hemolytic anemia: red blood cell destruction disorder","Red blood cell transfusion, IVIG, ImmunosuppressantsTrusted Source, such as a corticosteroid, Surgery."
"1027","Pterygium: growth on the eye","Artificial tears and Sunglasses(Self-care)."
"1029","Pernicious anemia: vitamin deficiency blood disorder","Vitamin B-12 shots or pills."
"1030","Addison's disease: adrenal insufficiency","Steroid Medications."
"1032","Heart attack: acute myocardial infarction, AMI","Defibrillation and Oxygen therapy, Anticoagulant, Antianginal, Narcotic, Beta blocker, Statin and ACE inhibitor, Coronary stent and Coronary angioplasty, Cardiac rehabilitation, Coronary artery bypass surgery."
"1033","Scleroderma: progressive hardening of soft tissue","Moisturizer, Physical Therapy, Immunosuppressive drug, Calcium channel blocker, Steroid and Proton-pump inhibitor, Oxygen therapy."
"1034","Medication reaction","Withdrawal of the drug, Antihistamines, Corticosteroids, Treatment of anaphylaxis."
"1035","Myxedema coma: severely low thyroid hormone","Assisting the patient to breathe and warming them to raise the body temperature to normal, Antibiotics, Replacing the thyroid hormone with suitable technique."
"1036","Bed bugs","Hygiene, Disinfecting sheets and bedding and Pest control, Steroid Medications, Hydrocortisone creams and antihistamines."
"1037","Athlete's foot: tinea pedis","Antifungal medications, Warm soak."
"1038","Early menopause: premature ovarian failure","Dietary supplement and Hormone to prevent osteoporosis."
"1039","Carcinoid syndrome: flushing, diarrhea","Surgery(cryosurgery or electric current to burn the tumor), Chemotherapy, Radiation, Liver directed therapy, Biologic drugs, Drug Therapy."
"1040","Mayer Rokitansky Küster Hauser syndrome: MRKH, inherited vaginal abnormality","Treatment based on underlying causes."
"1041","Obesity","Physical exercise, Weight loss, Low carbohydrate diet and Low fat diet, Behaviour therapy."
"1043","Hyperparathyroidism: elevated parathyroid hormone levels","Monitoring with Drinking more water, Physical Excercise, Avoid thiazide diuretics or lithium, Vitamin D supplement; Surgery for advanced cases."
"1044","Cauliflower ear: wrestlers ear","Otoplasty and Plastic Surgery."
"1045","Muscle tear","Heating pad, RICE (Rest, Ice, Compression, Elevation), Cold compress and Physical exercise, Chiropractic treatment techniques, Massage and Acupuncture, Nonsteroidal anti-inflammatory drug and Analgesic, Elastic bandage and Splint."
"1046","Gastroparesis: stomach muscle malfunction","Diet modification, Gut motility stimulator and Antiemetic."
"1047","Scalded skin syndrome: blistering skin infection","Oral or intravenous antibiotics to clear the infection, pain medication, creams to protect raw, exposed skin."
"1049","Colon polyps: large intestine tumors","Dietary fiber, Cauterization and Polypectomy."
"1050","Loffler's syndrome: pulmonary eosinophilia, lung inflammation","Corticosteroids medication."
"1051","Methemoglobinemia: blood disorder","Infusion with the drug methylene blue(people who DON'T have a congenital type of methemoglobinemia), Blood transfusion(if methylene blue didn't work), Aspirin therapy(for People with type 1 hereditary methemoglobinemia)."
"1052","Amaurosis fugax: momentary vision loss in one eye","Treatment based on underlying causes. Blood thinners like aspirin or warfarin(if cause is high cholesterol levels and(or) blood clots), Carotid endarterectomy, Refrain from eating high-fat foods, Stopping smoking."
"1053","Tendon laceration: tendon cut","Surgery followed by Splint and physical therapy."
"1054","Foreign body in a wound","Splinter removal, Fishhook removal."
"1055","Wound infection: cut infection","Clean the wound and remove any debris with proper sanitized equipment, Treat other associated symptoms accordingly."
"1056","Blood vessel injury","Alevate the injured limb, Ice the injured area for 10 minutes at a time(if possible), Acetaminophen or ibuprofen for pain relief, Switch medication."
"1057","Hidradenitis suppurativa: chronic collections of pus","Antibiotics, Incision and drainage and Carbon dioxide laser, Wide local excision."
"1059","Spleen injury: splenic rupture","Observation(for mild cases) and blood transfusion(if needed), Surgery(for severe cases)."
"1060","Liver injury: liver trauma","Medications to reverse poisoning, Relieving pressure caused by excess fluid in the brain, Liver transplant, Screening for infections, Preventing severe bleeding, Providing nutritional support."
"1061","Radiation exposure: radiation sickness","Decontamination, Treatment for damaged bone marrow(Transfusions of red blood cells or blood platelets), Treatment for internal contamination(ThyroShield, Radiogardase)."
"1062","Marfan syndrome: rare inherited disease","Back brace, Glasses and Contact lenses, Vitrectomy, Endovascular aneurysm repair, Vascular grafting and Heart valve repair, Beta blocker and Antihypertensive drug."
"1063","Tape worm infection","Antiparasitic."
"1064","Teething","Consult a pediatrician for specific dosage of medicines for pain relief."
"1065","Rabies: deadly viral illness transmitted by animals","Blood transfusion and Antiviral drug, Milwaukee protocol."
"1066","Toxic megacolon: rapid dilation of the colon","Treatment based on underlying cause. Steroids medication(if cause is IBD), Antibiotics(if cause is an infection); Bowel rest(Provide nutrition through a needle or a tube instead), Remove air from your colon with a suction tube(to lessen pressure on colon)."
"1067","Basal cell carcinoma: skin cancer","Topical anti-tumor medication and Chemotherapy, Photodynamic therapy, Tissue scraping and Mohs surgery, Electrosurgery and Wide local excision."
"1068","Skin tags: acrochordons","Cauterization, Cryosurgery and Surgical removal."
"1069","Pneumocystis pneumonia: PCP, fungal lung infection","Antibiotics(trimethoprim and sulfamethoxazole), Atovaquone in a liquid, Clindamycin and Primaquine, Dapsone and(or) trimethoprim, Pentamidine(via nebulizer)."
"1073","Compression fracture: broken spinal bone","Physical Therapy, Analgesic, Narcotic and Hormone."
"1075","Hypersensitivity pneumonitis: allergic lung disease","Avoid allergens, Corticosteroids medication, Immunosuppresive medications, Supportive therapies(Bronchodilators) for severe cases."
"1076","Mucormycosis: fungal infection","Intravenous (IV) antifungal medications(amphotericin B, Posaconazole, Isavuconazole), Surgical debridement."
"1077","Interstitial lung disease: chronic scarring of the lung","Steroids medication, Oxygen therapy, Pulmonary rehabilitation."
"1078","Flea bite","Over-the-counter anti-itch creams and antihistamines."
"1079","Ingrown nail: onychocryptosis","Warm soak and Better fitting footwear, Matricectomy and Nail surgery, Analgesic and Narcotic."
"1080","Porphyria: rare disorder of skin, nervous system","IV fluids, Blood transfusion, Dietary supplement and Immunosuppressive drug, Phlebotomy."
"1081","Gilbert's disease: liver abnormality","Supportive care."
"1082","Goodpasture syndrome: disease of kidneys and lungs","Oral immunosuppressive drugs such as cyclophosphamide and corticosteroids, Plasmapheresis."
"1083","Newborn jaundice: newborn skin discoloration","Frequent feedings (between 8 to 12 times a day) will help babies pass bilirubin through their bodies. Phototherapy(for severe cases)."
"1084","Ankle sprain","Self-care, Cold compress and RICE (Rest, Ice, Compression, Elevation), Nonsteroidal anti-inflammatory drug, Brace, Elastic bandage and Splint, Stretching, Physical Therapy and Massage."
"1090","Chikungunya: viral illness from mosquitoes","Fluid replacement, Nonsteroidal anti-inflammatory drug and Analgesic."
"1091","Japanese encephalitis: viral brain infection","Supportive intensive care."
"1093","Brucellosis: bacterial infection spread from animals","Antibiotics."
"1095","Post herpetic neuralgia: nerve pain after shingles","Painkillers, Anticonvulsants, Corticosteroids, Lidocaine skin patches, Antidepressants, Transcutaneous electrical nerve stimulation (TENS), Spinal cord or peripheral nerve stimulation."
"1096","Psoriatic arthritis: joint pain and stiffness","Warm compress, Ice packs, Ultraviolet light therapy and PUVA, Nonsteroidal anti-inflammatory drug, Anti-inflammatory and Immunosuppressive drug, Joint replacement"
"1097","Flat feet: pes planus","Brace, Monitoring, Stretching."
"1098","Heel spur","Applying ice for up to 20 minutes thrice a day, Using heel cups or wedges in shoes, Pain medication such as paracetamol or ibuprofen."
"1099","Lewy body dementia: common type of dementia","No cure as of now. Medication to relieve symptoms: Donepezil (Aricept) and rivastigmine (Exelon), Levodopa (Dopar, Laradopa), Melatonin or clonazepam (Klonopin)."
"1100","Facial nerve paralysis","Oral steroids (such as prednisone) and antiviral medications, Physical therapy; cosmetic surgery(For those who don’t recover fully), Artificial tears throughout the day and apply an eye lubricant at night."
"1102","Macular degeneration: chronic eye disease","Laser surgery, VEGFR inhibitor, Vitamin and Dietary supplement, Corrective lens, Glasses and Contact lenses."
"1103","Pyomyositis: muscle infection","Surgical drainage of abscess: primary wound closure and vacuum drainage promotes better healing, Appropriate antibiotics."
"1106","Synovitis: inflammation of joint lining","Rest and anti-inflammatory medications, DMARDs (disease-modifying antirheumatic drugs), Steroid injections(in some cases), Synovectomy."
"1108","Diabetic retinopathy: diabetic eye disease","Blood glucose management and Diabetic diet, Vitrectomy, Laser coagulation and Laser surgery, VEGFR inhibitor and Steroid."
"1111","Aspiration pneumonia: lung inflammation or infection","Antibiotics, Breathing machine in a medical facility(if trouble breathing), Assisted feeding method or a change of eating habits(If having difficulty swallowing)."
"1112","Hepatic encephalopathy: confusion from liver failure","Ammonia reducer, Antibiotics and Dietary supplement, Electrolyte repletion."
"1113","Pemphigus: rare skin disorder","Stopping the use of drug(if drug is the cause); Medications: Corticosteroids(Prednisone pills), Steroid-sparing immunosuppressant drugs(Azathioprine (Imuran, Azasan), Mycophenolate (Cellcept) and cyclophosphamide), dapsone, Intravenous immunoglobulin or rituximab (Rituxan)."
"1114","Diabetes insipidus: excessive water loss from the kidneys","IV fluids and Fluid replacement, Antidiuretic and Diuretic, Low sodium diet."
"1115","Ventral hernia: bulging of the abdominal wall","Open hernia repair, Laparoscopic surgery."
"1116","Listeria: serious bacterial illness","Antibiotics(based on the progression of risk, like pregnant women needs medication right away, for others with mild conditoin it may heal on its own): IV ampicillin. "
"1118","Shin splints: tibial stress syndrome","Stretching and Massage, RICE (Rest, Ice, Compression, Elevation) and Strength training, Nonsteroidal anti-inflammatory drug."
"1119","Sarcoma: soft tissue cancer","Treatment depends on the type of sarcoma, site in body, whether metastasized: Surgery, Radiation therapy, Chemotherapy, Targeted therapies."
"1121","Bone cancer: bone tumor","Tissue scraping and Radiation therapy, Bone grafting, Arthrodesis, Wide local excision and Limb sparing surgical resection, Prosthesis, Bone health."
"1124","Mastocytosis: urticaria pigmentosa, skin disease","No cure. Treatments to minimize symptoms: Avoid triggers that might cause an attack, Medication: Antihistamines, leukotriene modifiers, mast cell stabilizers and corticosteroid creams(for allergy); oral steroids or a drug called cromolyn sodium(for inflammation); Bisphosphonates(for weak bones); Injectable: Epinephrine(can be life saving in case of an attack); Ultraviolet light(to make darkened skin lesions less noticeable); Chemotherapy, Midostaurin, Bone marrow transplant(for aggresive cases)."
"1125","Jellyfish stings","First Aid: Carefully pluck visible tentacles with a fine tweezers, Soak the skin in hot water; Medication: CPR, antivenin medication(if the sting is from a box jellyfish), Oral antihistamines or Corticosteroids, Pain relievers, Eye Flushing(A jellyfish sting occurring on or near an eye needs immediate attention)"
"1129","Hemolytic uremic syndrome: HUS, red blood cell destruction, kidney disease","Intravenous (IV) transfusions of red blood cells or platelets, Medication to lower your blood pressure(If present a lasting kidney damage from HUS), Eculizumab(Soliris)(for atypical HUS), Kidney dialysis, Plasma exchange, Kidney transplant."
"1132","Triangular fibrocartilage complex injury: wrist injury","Stop activities involving wrist movements, Wear a splint/cast, Physical therapy, Minimally invasive arthroscopy."
"1133","Multiple myeloma: blood cancer","Chemotherapy, Blood transfusion, Steroid and Bone health, Autotransplantation."
"1134","Miller Fisher Syndrome: rare nerve disease","No cure-only lessen the severity of symptoms. Immunoglobulin therapy and plasmapheresis."
"1135","Aponeurotic ptosis: age-related drooping eyelid","Levator aponeurosis advancement(for patients with good levator function), sling procedure or levator resection(for patients with moderate to poor levator function)"
"1136","Complex migraine: migraine with neurologic changes","Stress management, Improved sleep habits, Avoid migraine triggers and Diet modification, Antipsychotic, Analgesic, Nonsteroidal anti-inflammatory drug, Stimulant, Nerve pain medication, Triptan, Neurotoxin and Dietary supplement, Progressive muscle relaxation and Acupuncture."
"1138","Reflex sympathetic dystrophy: complex pain syndrome","Heating pad, Biofeedback, Physical Therapy and Acupuncture, Antihypertensive drug, Nerve pain medication, Muscle relaxant, Sedative, Local anesthetic and Narcotic, Nerve block."
"1140","Golfer's elbow: medial epicondylitis of elbow","Ice packs and RICE (Rest, Ice, Compression, Elevation), Stretching, Massage and Physical Therapy, Nonsteroidal anti-inflammatory drug, Steroid and Analgesic, Therapeutic ultrasound, Brace and Elastic bandage."
"1141","Small cell lung cancer","Chemotherapy, Radiation therapy, Pulmonary lobectomy."
"1144","Bullous myringitis: middle ear infection","over-the-counter pain relievers and antibiotics, Break open the blisters on the eardrum with a small knife to allow them to drain(if pain relievers dont help) and continue Anitbiotics."
"1145","Chronic venous insufficiency: weakened leg veins","Avoid long periods of standing or sitting, Exercise regularly, Walking, Lose weight(if overweight), Elevate the legs, Wear compression stockings, Antibiotics, Practice good skin hygiene."
"1147","Diabetic neuropathy: nerve damage","Diabetes management, Insulin, Nerve pain medication, Anticonvulsant, Analgesic, Narcotic and Local anesthetic."
"1148","Diabetic nephropathy: diabetes and kidney disease","Angiotensin-converting enzyme (ACE) inhibitors and Angiotensin II receptor blockers (ARBs), Medication for high blood sugar, Statins, Medications for calcium phosphate balance, Medication for Protein control in urine; For Advanced cases: Kidney dialysis, Kidney Transplant."
"1151","Dysthymia: depression, dysthymic disorder","Physical exercise, Psychotherapy, SSRIs and Antidepressant."
"1154","Lymphedema: lymphatic obstruction","Elastic bandage and Compression stockings, Physical exercise and Moisturizer, Stretching."
"1155","Tension headache: stress headache","Nonsteroidal anti-inflammatory drug and Analgesic, Ice packs, Physical exercise, Relaxation techniques and Stress management, Biofeedback, Joint manipulation, Chiropractic treatment techniques, Behaviour therapy, Massage and Acupuncture."
"1157","Pneumoconiosis: lung disease","Stop the work that lead to the condition(e.g. stop smoking), Inhaled medication such as a Bronchodilator or Corticosteroid, Supplemental oxygen therapy."
"1166","Varicose veins","Elastic bandage and Compression stockings, Physical exercise and Weight loss, Laser therapy, Sclerotherapy, Radiofrequency ablation and Ambulatory phlebectomy, Vein stripping."
"1169","Diabetes mellitus type 1: elevated blood sugar","Diabetic diet, Nutrition counseling, Carbohydrate counting and Physical exercise, Insulin, Dietary supplement and Hormone."
"1170","Viral exanthem: rash from viral infection","Anitvial medications(for treating the underlying symptom), Applying a topical lotion(calamine lotion) or a topical corticosteroid(for itching), Taking an oatmeal bath(to soothe the skin and reduce itching)."
"1177","Foreign body in ear","NA"
"1184","Actinic keratosis: AK, skin growth","Topical anti-tumor medication, Chemotherapy and Nonsteroidal anti-inflammatory drug, Photodynamic therapy, Freezing and Tissue scraping."
"1186","Molluscum contagiosum","Can be self-healing, Freezing and Tissue scraping."
"1196","Eustachian tube dysfunction: inner ear tube","For Minor symptoms: Chewing gum, swallowing, Yawning, Breathing out with your nostrils and mouth closed, Using a saline nasal spray to help clean out passageways; If cause is Allergies: Antihistamines like diphenhydramine (Benadryl) or cetirizine (Zyrtec); If infection in ear: Antibiotics; For Severe symptoms: Pressure equalization tubes, Drainage of built up fluids."
"1199","Phimosis","Monitoring for changes or improvement, Stretching of the foreskin, Steroid, Circumcision."
"1201","Lumbar spondylosis: spine arthritis","Warm compress, Ice packs and Physical exercise, Physical Therapy, Analgesic, Nonsteroidal anti-inflammatory drug, Muscle relaxant, Steroid, Narcotic and Local anesthetic, Spinal surgery, Laminectomy, Laminotomy, Intervertebral disc annuloplasty, Intervertebral disc arthroplasty, Laminoplasty, Facetectomy, Microsurgery, Foraminotomy, Arthrodesis and Spinal fusion"
"1211","Muscle and ligament inflammation: enthesopathy","Treating the underlying diseases via a mix of exercise, rest, and medication: Non-steroidal anti-inflammatory drugs(NSAIDs) like naproxen and ibuprofen(for inflammation and pain), Disease-modifying anti-rheumatic drug (DMARD) or biologics(if cause is autoimmune arthritis), Steroids(for areas that are especially stiff or painful)."
"1245","Male pattern hair loss: hereditary-patterned baldness: Androgenic alopecia","Vasodilator and Urinary retention medication, Wig and Hair extensions."
"1247","Male infertility","Surgery, Treating infections, Treatments for sexual intercourse problems, Hormone treatments and medications, Assisted reproductive technology (ART)."
"1249","Scleritis: inflammation of the eye","Over-the-counter non-steroidal anti-inflammatory drug (NSAID) like ibuprofen(for mid cases), corticosteroid, scleral graft(for rare and extreme cases), Immunosuppressive medications(If cause is autoimmune disorder)."
"1251","Abdominal adhesions: scar tissue","Surgery(Only for adhesions causing obstructions)."
"1253","Chondromalacia: cartilage damage","Hamstring strengthening, Hip abductor strengthening, Quadriceps strengthening and Stretching, Activity modifications and Ice packs, Nonsteroidal anti-inflammatory drug"
"1255","Focal seizure: partial seizure","Antiepileptic medications: Lamotrigine, Levetiracetam(Broad-spectrum medication); Carbamazepine, Oxcarbazepine(Narrow-spectrum medication)."
"1257","Generalized seizure disorder: generalized epilepsy","Sedative and Anticonvulsant."
"1259","Peyronie's disease: abnormal curvature of the penis","Dietary supplement and Collagenase clostridium histolyticum, Penile traction."
"1261","Mycoplasma infection: bacteria","Resting at home, Drinking plenty of fluids, Over-the-counter pain relief for a headache or a sore throat, Antibiotics."
"1263","Duodenal cancer: small intestine","Surgery and Radiation therapy, Chemotherapy, Biologic therapy."
"1265","Small bowel cancer: small intestine"," Surgery and Radiation therapy, Chemotherapy."
"1267","Gallbladder cancer","Surgery to remove the gallbladder and(or) portion of liver, Chemotherapy, Radiation therapy, Targeted drug therapy or Immunotherapy(for advanced cases)."
"1269","Essential thrombocythemia: excessive blood platelets","No cure. To control symptoms and reduce the risk of complications: Medications(Hydroxyurea (Droxia, Hydrea), Anagrelide (Agrylin), Interferon alfa-2b (Intron A) or peginterferon alfa-2a (Pegasys)), Emergency procedure: Plateletpheresis."
"1271","Thyroid cyst","Treating benign nodules: Biopsy(If a benign thyroid nodule remains unchanged, you may never need treatment), Thyroid hormone therapy(If your thyroid function test finds your gland isn't producing enough thyroid hormone), Surgery(if noncancerous nodule is present); Treating nodules that cause hyperthyroidism: Radioactive iodine, Anti-thyroid medications, Surgery; Treating cancerous nodules: Surgery, Alcohol ablation."
"1273","Herpangina: mouth blisters","Oral rehydration therapy, Nonsteroidal anti-inflammatory drug and Analgesic"
"1275","Ewing's sarcoma: cancer","Chemotherapy, Radiation therapy, Amputation and Wide local excision"
"1277","Extragonadal germ cell tumors","Radiation therapy, Chemotherapy, Surgery."
"1279","Fallopian tube cancer","Salpingo-oophorectomy, hysterectomy, Chemotherapy/Radiation therapy/Palliative care after surgery."
"1281","Familial dysautonomia: genetic disorder","Handling each affected site(Digestive system(Swallowing therapy and antireflux treatment), Respiratory system(Airway Therapy, Sleep Apnea Therapy), Blood Pressure management system(Medications))."
"1283","Farsightedness: hyperopia/hypermetropia","Glasses and Contact lenses, LASIK."
"1285","Food allergy","Avoid specific foods, Airway management, Antihistamine and Vasoconstrictor, Desensitization"
"1287","Foot sprain","RICE (Rest, Ice, Compression, Elevation)"
"1289","Foot ulcer","Antibiotics(if an infection is present), Anti-platelet or anti-clotting medications(to prevent a blood clot), Topical wound care therapies, Compression garments, Prosthetics or orthotics."
"1291","Fragile X syndrome: genetic disorder","Behaviour therapy, Sedative, Muscle relaxant, Antipsychotic, Cognition-enhancing medication and Vitamin."
"1293","Friedreich's Ataxia: genetic disorder","No cure. Treating underlying conditions and symptoms: Physical therapy and Speech therapy, Walking aids, Braces and other orthopedic devices or surgery(if a curved spine is developed)."
"1295","Gallbladder and bile duct cancer: Gallbladder cancer: bile duct cancer","Bile duct cancer: Surgery, Liver transplant, Chemotherapy, Radiation therapy, Photodynamic therapy, Biliary drainage. Gallbladder cancer: Surgery to remove the gallbladder and(or) portion of liver, Chemotherapy, Radiation therapy, Targeted drug therapy or Immunotherapy(for advanced cases)."
"1297","Glomerulonephritis: kidney disease","Treatment is based on cause. Blood pressure medications and ACE inhibitors(if cause is High blood pressure), Corticosteroids or plasmapheresis(if cause is the Immune system of the body), Dialysis(if kidney fails due to advanced spread of disease)."
"1299","Graves eye disease: Graves ophthalmopathy","Anti-thyroid medication, Radioactive iodine therapy, Surgery to remove all or part of thyroid."
"1301","Head injury in children: Non-accidental traumatic head injury to child","Give acetaminophen (Tylenol) to relieve pain(if needed) if child is acting normal after 2 hours, Monitor signs of a more serious injury for 24 hours. "
"1303","Hemorrhagic stroke: CVA, cerebrovascular accident","Elevate head of bed, Hyperventilation, Reversal of anticoagulation, Monitoring in the intensive care unit and IV fluids, Antihypertensive drug and Diuretic, Clipping, Rehabilitation"
